Date;Team;Inflow;Outflow;Grades(source: ESPN)
August 26, 2016;Philadelphia 76ers;Tibor Pleiss;Kendall Marshall;A
August 26, 2016;Utah Jazz;Kendall Marshall;Tibor Pleiss;C
July 15, 2016;Los Angeles Clippers;Devyn Marble;C.J. Wilcox;B
July 15, 2016;Orlando Magic;C.J. Wilcox;Devyn Marble;C
July 15, 2016;Cleveland Cavaliers;Chukwudiebere Maduabum;Sasha Kaun;False
July 15, 2016;Philadelphia 76ers;Sasha Kaun;Chukwudiebere Maduabum;False
July 12, 2016;Charlotte Hornets;NA;Troy Daniels;B-
July 12, 2016;Memphis Grizzlies;Troy Daniels;NA;B
July 10, 2016;Miami Heat;Luke Babbitt; a 2018 2nd round draft pick;B
July 10, 2016;New Orleans Pelicans; a 2018 2nd round draft pick;Luke Babbitt;B+
July 8, 2016;San Antonio Spurs;Olivier Hanlan;Boris Diaw;B-
July 8, 2016;Utah Jazz;Boris Diaw;Olivier Hanlan;A
July 7, 2016;Charlotte Hornets;Marco Belinelli;Malachi Richardson;D-
July 7, 2016;Sacramento Kings;Malachi Richardson;Marco Belinelli;A
July 7, 2016;Dallas Mavericks;Andrew Bogut;a future 2nd round draft pick;B
July 7, 2016;Golden State Warriors;a future 2nd round draft pick;Andrew Bogut;A
July 7, 2016;Brooklyn Nets;Caris LeVert;Thaddeus Young;B
July 7, 2016;Indiana Pacers;Thaddeus Young;Caris LeVert;B+
July 7, 2016;Orlando Magic;NA;Shabazz Napier;C
July 7, 2016;Portland Trail Blazers;Shabazz Napier;NA;B
July 7, 2016;Atlanta Hawks;Taurean Prince;Jeff Teague;B-
July 7, 2016;Indiana Pacers;Jeff Teague;George Hill;C
July 7, 2016;Utah Jazz;George Hill;Taurean Prince;B+
July 7, 2016;Dallas Mavericks;Stanko Barac;Jeremy Evans;C
July 7, 2016;Indiana Pacers;Jeremy Evans;Stanko Barac;B+
July 7, 2016;Utah Jazz;a 2021 2nd round draft pick;Trey Burke;C+
July 7, 2016;Washington Wizards;Trey Burke;a 2021 2nd round draft pick;B
July 7, 2016;Chicago Bulls;Ater Majok;Jose Calderon;B
July 7, 2016;Los Angeles Lakers;Jose Calderon;Ater Majok;A
July 7, 2016;Chicago Bulls;Albert Miralles;Mike Dunleavy;C
July 7, 2016;Cleveland Cavaliers;Mike Dunleavy;Albert Miralles;B
July 7, 2016;Cleveland Cavaliers;Albert Miralles;Matthew Dellavedova;A
July 7, 2016;Milwaukee Bucks;Matthew Dellavedova;Albert Miralles;B
